Дата;Цена
18.10.2022;123.99
17.10.2022;120.90
14.10.2022;120.57
13.10.2022;127.34
12.10.2022;123.46
11.10.2022;122.70
10.10.2022;123.70
07.10.2022;127.45
06.10.2022;127.53
05.10.2022;126.08
04.10.2022;125.17
03.10.2022;119.93
30.09.2022;111.73
29.09.2022;112.97
28.09.2022;111.73
27.09.2022;105.45
26.09.2022;105.18
23.09.2022;109.12
22.09.2022;118.35
21.09.2022;118.24
20.09.2022;119.63
19.09.2022;120.43
16.09.2022;121.45
15.09.2022;122.56
14.09.2022;126.73
13.09.2022;121.41
12.09.2022;124.87
09.09.2022;121.85
08.09.2022;116.87
07.09.2022;115.75
06.09.2022;118.84
02.09.2022;120.04
01.09.2022;117.26
31.08.2022;119.82
30.08.2022;120.37
29.08.2022;125.03
26.08.2022;123.05
25.08.2022;123.69
24.08.2022;122.39
23.08.2022;120.29
22.08.2022;117.45
19.08.2022;117.30
18.08.2022;117.54
17.08.2022;112.30
16.08.2022;111.04
15.08.2022;110.91
12.08.2022;113.09
11.08.2022;112.15
10.08.2022;107.66
09.08.2022;106.92
08.08.2022;105.88
05.08.2022;105.70
04.08.2022;98.60
03.08.2022;102.35
02.08.2022;105.88
01.08.2022;106.27
29.07.2022;109.86
28.07.2022;106.08
27.07.2022;106.87
26.07.2022;102.48
25.07.2022;104.19
22.07.2022;99.77
21.07.2022;102.30
20.07.2022;104.28
19.07.2022;102.36
18.07.2022;98.32
15.07.2022;96.09
14.07.2022;93.96
13.07.2022;98.18
12.07.2022;98.28
11.07.2022;102.43
08.07.2022;104.23
07.07.2022;103.79
06.07.2022;99.68
05.07.2022;103.54
01.07.2022;110.26
30.06.2022;109.09
29.06.2022;111.84
28.06.2022;116.87
27.06.2022;112.37
24.06.2022;109.24
23.06.2022;105.86
22.06.2022;109.42
21.06.2022;116.21
17.06.2022;110.31
16.06.2022;118.10
15.06.2022;125.90
14.06.2022;129.66
13.06.2022;129.33
10.06.2022;140.31
09.06.2022;138.84
08.06.2022;142.01
07.06.2022;142.19
06.06.2022;137.50
03.06.2022;138.83
02.06.2022;135.87
01.06.2022;136.35
31.05.2022;133.45
27.05.2022;133.35
26.05.2022;130.30
25.05.2022;129.66
24.05.2022;125.94
23.05.2022;124.79
20.05.2022;118.93
19.05.2022;118.58
18.05.2022;119.44
17.05.2022;124.16
16.05.2022;123.13
13.05.2022;121.10
12.05.2022;117.43
11.05.2022;118.19
10.05.2022;116.50
09.05.2022;114.92
06.05.2022;128.84
05.05.2022;120.26
04.05.2022;121.58
03.05.2022;117.67
02.05.2022;113.33
29.04.2022;113.77
28.04.2022;114.76
27.04.2022;109.92
26.04.2022;108.73
25.04.2022;108.91
22.04.2022;113.15
21.04.2022;116.43
20.04.2022;119.55
19.04.2022;118.64
18.04.2022;120.16
14.04.2022;119.79
13.04.2022;120.40
12.04.2022;121.38
11.04.2022;118.23
08.04.2022;123.63
07.04.2022;117.53
06.04.2022;115.42
05.04.2022;114.81
04.04.2022;117.74
01.04.2022;117.25
31.03.2022;116.18
30.03.2022;117.99
29.03.2022;117.54
28.03.2022;117.77
25.03.2022;121.32
24.03.2022;117.91
23.03.2022;120.39
22.03.2022;117.74
21.03.2022;119.33
18.03.2022;112.84
17.03.2022;114.85
16.03.2022;110.11
15.03.2022;110.91
14.03.2022;112.87
11.03.2022;112.72
10.03.2022;115.81
09.03.2022;109.91
08.03.2022;113.81
07.03.2022;116.07
04.03.2022;114.72
03.03.2022;112.34
02.03.2022;112.78
01.03.2022;112.46
28.02.2022;111.02
25.02.2022;103.64
24.02.2022;106.36
23.02.2022;106.58
22.02.2022;105.81
18.02.2022;107.83
17.02.2022;108.78
16.02.2022;107.98
15.02.2022;107.13
14.02.2022;109.56
11.02.2022;112.79
10.02.2022;108.84
09.02.2022;109.46
08.02.2022;107.74
07.02.2022;110.80
04.02.2022;109.84
03.02.2022;107.99
02.02.2022;109.09
01.02.2022;109.34
31.01.2022;107.70
28.01.2022;105.98
27.01.2022;106.02
26.01.2022;103.88
25.01.2022;103.31
24.01.2022;98.84
21.01.2022;97.21
20.01.2022;99.99
19.01.2022;101.56
18.01.2022;102.08
14.01.2022;102.04
13.01.2022;98.54
12.01.2022;99.28
11.01.2022;98.73
10.01.2022;94.73
07.01.2022;94.83
06.01.2022;92.28
05.01.2022;90.42
04.01.2022;92.11
03.01.2022;88.07
31.12.2021;85.81
30.12.2021;86.15
29.12.2021;86.80
28.12.2021;87.16
27.12.2021;87.70
23.12.2021;84.22
22.12.2021;84.26
21.12.2021;83.42
20.12.2021;80.74
17.12.2021;81.15
16.12.2021;83.26
15.12.2021;81.93
14.12.2021;82.40
13.12.2021;83.11
10.12.2021;84.67
09.12.2021;83.91
08.12.2021;85.04
07.12.2021;85.50
06.12.2021;82.67
03.12.2021;81.18
02.12.2021;81.72
01.12.2021;80.58
30.11.2021;82.14
29.11.2021;83.45
26.11.2021;82.53
24.11.2021;87.85
23.11.2021;86.63
22.11.2021;81.86
19.11.2021;80.89
18.11.2021;84.61
17.11.2021;85.04
16.11.2021;86.76
15.11.2021;87.99
12.11.2021;89.54
11.11.2021;89.61
10.11.2021;89.02
09.11.2021;91.68
08.11.2021;91.57
05.11.2021;89.80
04.11.2021;85.82
03.11.2021;85.87
02.11.2021;87.63
01.11.2021;88.24
29.10.2021;87.29
28.10.2021;88.57
27.10.2021;87.84
26.10.2021;89.69
25.10.2021;88.78
22.10.2021;86.86
21.10.2021;85.82
20.10.2021;87.90
19.10.2021;85.12
18.10.2021;84.32
15.10.2021;84.61
14.10.2021;85.51
13.10.2021;85.36
12.10.2021;85.08
11.10.2021;85.12
08.10.2021;85.47
07.10.2021;80.99
06.10.2021;81.73
05.10.2021;82.23
04.10.2021;81.57
01.10.2021;79.22
30.09.2021;75.78
29.09.2021;77.95
28.09.2021;77.16
27.09.2021;77.24
24.09.2021;73.73
23.09.2021;72.57
22.09.2021;70.43
21.09.2021;68.17
20.09.2021;67.53
17.09.2021;70.10
16.09.2021;69.84
15.09.2021;71.10
14.09.2021;65.63
13.09.2021;66.17
10.09.2021;63.39
09.09.2021;63.59
08.09.2021;63.42
07.09.2021;63.89
03.09.2021;64.19
02.09.2021;64.54
01.09.2021;62.65
31.08.2021;63.75
30.08.2021;63.62
27.08.2021;65.74
26.08.2021;63.66
25.08.2021;64.89
24.08.2021;64.62
23.08.2021;63.86
20.08.2021;60.87
19.08.2021;60.67
18.08.2021;61.71
17.08.2021;62.28
16.08.2021;62.24
13.08.2021;64.20
12.08.2021;65.89
11.08.2021;65.58
10.08.2021;64.89
09.08.2021;65.50
06.08.2021;66.97
05.08.2021;66.79
04.08.2021;66.79
03.08.2021;69.56
02.08.2021;67.62
30.07.2021;68.79
29.07.2021;69.59
28.07.2021;69.20
27.07.2021;68.66
26.07.2021;70.02
23.07.2021;68.46
22.07.2021;69.58
21.07.2021;70.04
20.07.2021;67.50
19.07.2021;66.41
16.07.2021;69.78
15.07.2021;71.93
14.07.2021;74.26
13.07.2021;77.13
12.07.2021;77.66
09.07.2021;76.99
08.07.2021;74.48
07.07.2021;75.60
06.07.2021;78.05
02.07.2021;79.96
01.07.2021;80.16
30.06.2021;77.79
29.06.2021;76.73
28.06.2021;77.35
25.06.2021;81.71
24.06.2021;80.26
23.06.2021;79.89
22.06.2021;79.19
21.06.2021;79.23
18.06.2021;73.94
17.06.2021;75.91
16.06.2021;78.97
15.06.2021;79.80
14.06.2021;79.11
11.06.2021;79.65
10.06.2021;80.33
09.06.2021;80.00
08.06.2021;81.47
07.06.2021;81.13
04.06.2021;81.53
03.06.2021;80.93
02.06.2021;79.49
01.06.2021;78.86
28.05.2021;74.90
27.05.2021;74.89
26.05.2021;74.21
25.05.2021;73.35
24.05.2021;74.71
21.05.2021;74.65
20.05.2021;75.06
19.05.2021;75.08
18.05.2021;77.35
17.05.2021;79.33
14.05.2021;77.00
13.05.2021;74.19
12.05.2021;75.85
11.05.2021;76.58
10.05.2021;78.82
07.05.2021;77.47
06.05.2021;71.76
05.05.2021;71.51
04.05.2021;69.93
03.05.2021;70.82
30.04.2021;68.65
29.04.2021;70.79
28.04.2021;69.90
27.04.2021;66.82
26.04.2021;65.10
23.04.2021;64.38
22.04.2021;63.72
21.04.2021;64.29
20.04.2021;63.92
19.04.2021;66.46
16.04.2021;65.73
15.04.2021;67.90
14.04.2021;69.10
13.04.2021;65.63
12.04.2021;65.35
09.04.2021;66.91
08.04.2021;67.30
07.04.2021;68.33
06.04.2021;67.40
05.04.2021;66.93
01.04.2021;70.24
31.03.2021;67.62
30.03.2021;68.30
29.03.2021;68.65
26.03.2021;69.81
25.03.2021;68.09
24.03.2021;67.63
23.03.2021;64.93
22.03.2021;63.61
19.03.2021;65.33
18.03.2021;64.23
17.03.2021;68.23
16.03.2021;65.86
15.03.2021;69.32
12.03.2021;69.92
11.03.2021;70.21
10.03.2021;70.02
09.03.2021;68.62
08.03.2021;69.54
05.03.2021;69.53
04.03.2021;66.59
03.03.2021;62.45
02.03.2021;60.10
01.03.2021;60.58
26.02.2021;60.19
25.02.2021;65.81
24.02.2021;67.47
23.02.2021;63.25
22.02.2021;61.62
19.02.2021;58.27
18.02.2021;56.47
17.02.2021;59.24
16.02.2021;58.82
12.02.2021;56.89
11.02.2021;55.60
10.02.2021;56.13
09.02.2021;54.28
08.02.2021;55.38
05.02.2021;52.77
04.02.2021;53.58
03.02.2021;52.09
02.02.2021;47.79
01.02.2021;47.85
29.01.2021;47.51
28.01.2021;50.08
27.01.2021;51.28
26.01.2021;49.87
25.01.2021;51.46
22.01.2021;51.14
21.01.2021;51.30
20.01.2021;56.12
19.01.2021;56.38
15.01.2021;55.18
14.01.2021;58.02
13.01.2021;56.37
12.01.2021;58.21
11.01.2021;55.57
08.01.2021;54.88
07.01.2021;54.65
06.01.2021;51.33
05.01.2021;50.27
04.01.2021;46.48
31.12.2020;46.49
30.12.2020;47.13
29.12.2020;45.37
28.12.2020;45.62
24.12.2020;46.24
23.12.2020;46.69
22.12.2020;45.54
21.12.2020;46.69
18.12.2020;48.26
17.12.2020;48.62
16.12.2020;49.13
15.12.2020;49.56
14.12.2020;48.55
11.12.2020;49.97
10.12.2020;50.98
09.12.2020;49.37
08.12.2020;48.62
07.12.2020;48.08
04.12.2020;49.41
03.12.2020;44.91
02.12.2020;44.58
01.12.2020;43.38
30.11.2020;43.70
27.11.2020;47.95
25.11.2020;49.41
24.11.2020;50.73
23.11.2020;46.97
20.11.2020;42.31
19.11.2020;42.38
18.11.2020;41.89
17.11.2020;42.58
16.11.2020;42.28
13.11.2020;39.78
12.11.2020;37.75
11.11.2020;39.07
10.11.2020;39.33
09.11.2020;37.58
06.11.2020;32.24
05.11.2020;33.19
04.11.2020;33.60
03.11.2020;32.65
02.11.2020;32.77
30.10.2020;31.92
29.10.2020;31.67
28.10.2020;30.31
27.10.2020;32.24
26.10.2020;32.56
23.10.2020;34.97
22.10.2020;34.43
21.10.2020;32.74
20.10.2020;33.82
19.10.2020;33.74
16.10.2020;34.88
15.10.2020;35.50
14.10.2020;35.07
13.10.2020;36.02
12.10.2020;35.62
09.10.2020;35.02
08.10.2020;35.12
07.10.2020;34.22
06.10.2020;33.55
05.10.2020;33.99
02.10.2020;32.45
01.10.2020;32.50
30.09.2020;33.51
29.09.2020;33.74
28.09.2020;34.90
25.09.2020;34.91
24.09.2020;34.17
23.09.2020;33.92
22.09.2020;35.85
21.09.2020;36.18
18.09.2020;37.95
17.09.2020;38.40
16.09.2020;38.09
15.09.2020;35.98
14.09.2020;36.52
11.09.2020;36.40
10.09.2020;35.43
09.09.2020;39.02
08.09.2020;38.06
04.09.2020;40.22
03.09.2020;40.21
02.09.2020;40.74
01.09.2020;42.15
31.08.2020;42.27
28.08.2020;43.08
27.08.2020;41.90
26.08.2020;40.33
25.08.2020;41.37
24.08.2020;41.33
21.08.2020;40.45
20.08.2020;41.11
19.08.2020;42.52
18.08.2020;43.21
17.08.2020;43.92
14.08.2020;45.27
13.08.2020;44.75
12.08.2020;46.33
11.08.2020;46.64
10.08.2020;47.62
07.08.2020;46.07
06.08.2020;48.03
05.08.2020;47.90
04.08.2020;45.73
03.08.2020;43.76
31.07.2020;44.22
30.07.2020;43.96
29.07.2020;45.77
28.07.2020;44.61
27.07.2020;45.83
24.07.2020;46.28
23.07.2020;46.10
22.07.2020;47.37
21.07.2020;47.58
20.07.2020;45.02
17.07.2020;44.51
16.07.2020;45.13
15.07.2020;44.79
14.07.2020;44.62
13.07.2020;42.42
10.07.2020;42.85
09.07.2020;41.85
08.07.2020;44.77
07.07.2020;45.40
06.07.2020;47.58
02.07.2020;47.68
01.07.2020;47.06
30.06.2020;47.81
29.06.2020;46.86
26.06.2020;46.02
25.06.2020;47.88
24.06.2020;46.20
23.06.2020;49.51
22.06.2020;49.47
19.06.2020;49.36
18.06.2020;49.95
17.06.2020;49.53
16.06.2020;51.53
15.06.2020;49.27
12.06.2020;49.61
11.06.2020;48.27
10.06.2020;52.50
09.06.2020;56.13
08.06.2020;58.62
05.06.2020;55.97
04.06.2020;52.05
03.06.2020;52.26
02.06.2020;51.73
01.06.2020;48.90
29.05.2020;48.10
28.05.2020;48.74
27.05.2020;49.76
26.05.2020;48.55
22.05.2020;49.34
21.05.2020;49.38
20.05.2020;49.69
19.05.2020;47.81
18.05.2020;49.49
15.05.2020;47.68
14.05.2020;47.56
13.05.2020;48.20
12.05.2020;49.72
11.05.2020;49.84
08.05.2020;51.45
07.05.2020;48.31
06.05.2020;45.84
05.05.2020;46.05
04.05.2020;46.74
01.05.2020;44.57
30.04.2020;47.51
29.04.2020;47.72
28.04.2020;44.98
27.04.2020;44.54
24.04.2020;43.36
23.04.2020;44.22
22.04.2020;43.15
21.04.2020;40.50
20.04.2020;41.17
17.04.2020;41.84
16.04.2020;36.52
15.04.2020;39.89
14.04.2020;42.23
13.04.2020;43.29
09.04.2020;44.82
08.04.2020;45.29
07.04.2020;41.33
06.04.2020;39.43
03.04.2020;39.89
02.04.2020;38.30
01.04.2020;34.60
31.03.2020;35.92
30.03.2020;34.98
27.03.2020;36.00
26.03.2020;39.53
25.03.2020;39.69
24.03.2020;39.80
23.03.2020;34.54
20.03.2020;34.89
19.03.2020;33.22
18.03.2020;29.76
17.03.2020;30.89
16.03.2020;31.10
13.03.2020;34.80
12.03.2020;32.50
11.03.2020;38.86
10.03.2020;41.60
09.03.2020;37.60
06.03.2020;55.30
05.03.2020;61.87
04.03.2020;64.08
03.03.2020;62.43
02.03.2020;62.86
28.02.2020;63.26
27.02.2020;60.00
26.02.2020;63.20
25.02.2020;66.99
24.02.2020;69.91
21.02.2020;74.21
20.02.2020;75.99
19.02.2020;77.28
18.02.2020;74.53
14.02.2020;74.92
13.02.2020;75.68
12.02.2020;75.38
11.02.2020;74.79
10.02.2020;73.70
07.02.2020;74.35
06.02.2020;75.87
05.02.2020;77.05
04.02.2020;73.62
03.02.2020;71.37
31.01.2020;72.91
30.01.2020;75.82
29.01.2020;75.14
28.01.2020;77.05
27.01.2020;76.64
24.01.2020;79.85
23.01.2020;81.83
22.01.2020;83.09
21.01.2020;84.04
17.01.2020;85.31
16.01.2020;87.02
15.01.2020;86.74
14.01.2020;86.33
13.01.2020;85.52
10.01.2020;86.27
09.01.2020;88.25
08.01.2020;87.34
07.01.2020;89.29
06.01.2020;88.44
03.01.2020;84.99
02.01.2020;84.14
31.12.2019;83.76
30.12.2019;82.39
27.12.2019;83.14
26.12.2019;83.65
24.12.2019;83.81
23.12.2019;83.38
20.12.2019;82.66
19.12.2019;81.25
18.12.2019;80.59
17.12.2019;78.81
16.12.2019;77.91
13.12.2019;75.49
12.12.2019;76.71
11.12.2019;74.67
10.12.2019;74.84
09.12.2019;74.51
06.12.2019;73.96
05.12.2019;70.59
04.12.2019;72.05
03.12.2019;68.78
02.12.2019;70.79
29.11.2019;70.90
27.11.2019;72.35
26.11.2019;71.91
25.11.2019;73.52
22.11.2019;72.99
21.11.2019;73.32
20.11.2019;72.06
19.11.2019;70.40
18.11.2019;71.26
15.11.2019;73.48
14.11.2019;72.35
13.11.2019;72.61
12.11.2019;73.29
11.11.2019;73.82
08.11.2019;74.70
07.11.2019;74.74
06.11.2019;71.42
05.11.2019;74.01
04.11.2019;73.69
01.11.2019;71.15
31.10.2019;69.31
30.10.2019;69.62
29.10.2019;71.81
28.10.2019;71.05
25.10.2019;72.48
24.10.2019;71.97
23.10.2019;71.94
22.10.2019;69.57
21.10.2019;67.66
18.10.2019;64.44
17.10.2019;66.77
16.10.2019;68.18
15.10.2019;69.25
14.10.2019;68.19
11.10.2019;69.25
10.10.2019;68.91
09.10.2019;68.59
08.10.2019;68.73
07.10.2019;69.76
04.10.2019;70.92
03.10.2019;70.84
02.10.2019;69.80
01.10.2019;71.58
30.09.2019;74.22
27.09.2019;74.98
26.09.2019;75.09
25.09.2019;76.77
24.09.2019;78.56
23.09.2019;80.13
20.09.2019;81.00
19.09.2019;81.61
18.09.2019;81.32
17.09.2019;81.22
16.09.2019;85.64
13.09.2019;79.39
12.09.2019;79.68
11.09.2019;81.03
10.09.2019;80.10
09.09.2019;80.00
06.09.2019;76.44
05.09.2019;75.60
04.09.2019;75.57
03.09.2019;74.13
30.08.2019;74.19
29.08.2019;74.48
28.08.2019;72.53
27.08.2019;71.66
26.08.2019;72.25
23.08.2019;71.75
22.08.2019;75.51
21.08.2019;77.22
20.08.2019;76.69
19.08.2019;77.81
16.08.2019;75.92
15.08.2019;74.94
14.08.2019;75.02
13.08.2019;78.52
12.08.2019;77.92
09.08.2019;79.37
08.08.2019;80.36
07.08.2019;77.55
06.08.2019;78.28
05.08.2019;79.00
02.08.2019;82.46
01.08.2019;81.07
31.07.2019;85.85
30.07.2019;86.06
29.07.2019;83.92
26.07.2019;84.29
25.07.2019;85.47
24.07.2019;87.68
23.07.2019;87.59
22.07.2019;87.21
19.07.2019;87.04
18.07.2019;85.43
17.07.2019;85.19
16.07.2019;87.00
15.07.2019;88.75
12.07.2019;90.90
11.07.2019;90.84
10.07.2019;90.66
09.07.2019;89.15
08.07.2019;90.15
05.07.2019;88.57
03.07.2019;87.20
02.07.2019;87.56
01.07.2019;93.09
28.06.2019;93.16
27.06.2019;92.11
26.06.2019;93.09
25.06.2019;90.04
24.06.2019;90.56
21.06.2019;92.37
20.06.2019;91.45
19.06.2019;88.65
18.06.2019;88.30
17.06.2019;85.47
14.06.2019;85.17
13.06.2019;86.49
12.06.2019;85.03
11.06.2019;86.50
10.06.2019;85.20
07.06.2019;84.60
06.06.2019;84.27
05.06.2019;82.03
04.06.2019;84.28
03.06.2019;82.95
31.05.2019;81.88
30.05.2019;83.96
29.05.2019;86.43
28.05.2019;87.11
24.05.2019;87.16
23.05.2019;88.85
22.05.2019;92.91
21.05.2019;95.63
20.05.2019;93.68
17.05.2019;93.02
16.05.2019;95.18
15.05.2019;94.36
14.05.2019;94.34
13.05.2019;93.50
10.05.2019;95.00
09.05.2019;94.24
08.05.2019;94.03
07.05.2019;91.78
06.05.2019;91.24
03.05.2019;90.90
02.05.2019;89.17
01.05.2019;91.89
30.04.2019;96.05
29.04.2019;97.00
26.04.2019;97.88
25.04.2019;102.08
24.04.2019;103.94
23.04.2019;106.60
22.04.2019;107.07
18.04.2019;103.87
17.04.2019;101.84
16.04.2019;102.35
15.04.2019;102.12
12.04.2019;105.31
11.04.2019;98.73
10.04.2019;98.73
09.04.2019;98.57
08.04.2019;99.48
05.04.2019;98.63
04.04.2019;93.67
03.04.2019;93.93
02.04.2019;96.05
01.04.2019;96.94
29.03.2019;95.18
28.03.2019;95.24
27.03.2019;94.59
26.03.2019;94.77
25.03.2019;92.78
22.03.2019;93.68
21.03.2019;96.87
20.03.2019;95.89
19.03.2019;92.88
18.03.2019;91.92
15.03.2019;88.85
14.03.2019;89.69
13.03.2019;88.57
12.03.2019;86.98
11.03.2019;86.26
08.03.2019;86.44
07.03.2019;91.35
06.03.2019;91.94
05.03.2019;95.50
04.03.2019;96.81
01.03.2019;96.42
28.02.2019;94.00
27.02.2019;95.04
26.02.2019;93.91
25.02.2019;94.75
22.02.2019;95.53
21.02.2019;95.35
20.02.2019;98.78
19.02.2019;99.71
15.02.2019;100.25
14.02.2019;96.96
13.02.2019;96.75
12.02.2019;95.63
11.02.2019;94.21
08.02.2019;92.50
07.02.2019;92.99
06.02.2019;96.18
05.02.2019;98.35
04.02.2019;99.38
01.02.2019;98.85
31.01.2019;99.20
30.01.2019;99.45
29.01.2019;98.87
28.01.2019;98.10
25.01.2019;99.10
24.01.2019;97.24
23.01.2019;96.57
22.01.2019;96.86
18.01.2019;101.05
17.01.2019;99.05
16.01.2019;98.67
15.01.2019;98.59
14.01.2019;98.51
11.01.2019;96.87
10.01.2019;99.12
09.01.2019;99.19
08.01.2019;95.52
07.01.2019;94.51
04.01.2019;93.92
03.01.2019;89.97
02.01.2019;90.61
31.12.2018;87.21
28.12.2018;87.52
27.12.2018;88.79
26.12.2018;88.99
24.12.2018;82.86
21.12.2018;87.26
20.12.2018;89.74
19.12.2018;92.98
18.12.2018;94.01
17.12.2018;96.21
14.12.2018;100.08
13.12.2018;102.83
12.12.2018;103.93
11.12.2018;102.07
10.12.2018;101.71
07.12.2018;103.61
06.12.2018;102.13
04.12.2018;104.07
03.12.2018;108.11
30.11.2018;103.31
29.11.2018;105.47
28.11.2018;103.77
27.11.2018;101.95
26.11.2018;102.54
23.11.2018;100.70
21.11.2018;106.00
20.11.2018;102.36
19.11.2018;105.71
16.11.2018;105.20
15.11.2018;101.59
14.11.2018;98.07
13.11.2018;98.52
12.11.2018;101.25
09.11.2018;105.51
08.11.2018;104.85
07.11.2018;109.15
06.11.2018;107.33
05.11.2018;106.35
02.11.2018;102.35
01.11.2018;106.89
31.10.2018;105.34
30.10.2018;105.51
29.10.2018;102.04
26.10.2018;106.56
25.10.2018;107.12
24.10.2018;106.14
23.10.2018;111.12
22.10.2018;116.25
19.10.2018;117.67
18.10.2018;118.55
17.10.2018;120.14
16.10.2018;122.26
15.10.2018;122.57
12.10.2018;122.18
11.10.2018;121.62
10.10.2018;126.47
09.10.2018;132.35
08.10.2018;129.83
05.10.2018;131.05
04.10.2018;130.23
03.10.2018;130.38
02.10.2018;130.00
01.10.2018;129.49
28.09.2018;127.57
27.09.2018;127.00
26.09.2018;125.31
25.09.2018;125.64
24.09.2018;123.99
