Дата;Цена
19.10.2022;160.36
18.10.2022;160.20
17.10.2022;163.24
14.10.2022;159.60
13.10.2022;160.84
12.10.2022;161.80
11.10.2022;162.89
10.10.2022;163.89
07.10.2022;195.15
06.10.2022;212.86
05.10.2022;209.05
04.10.2022;210.72
03.10.2022;215.83
30.09.2022;217.70
29.09.2022;226.46
28.09.2022;217.38
27.09.2022;217.30
26.09.2022;206.00
23.09.2022;224.84
22.09.2022;231.45
21.09.2022;214.07
20.09.2022;221.15
19.09.2022;244.21
16.09.2022;243.80
15.09.2022;243.68
14.09.2022;243.32
13.09.2022;242.64
12.09.2022;243.30
09.09.2022;245.34
08.09.2022;243.95
07.09.2022;241.55
06.09.2022;246.00
05.09.2022;250.00
02.09.2022;252.80
01.09.2022;249.11
31.08.2022;254.90
30.08.2022;204.00
29.08.2022;190.00
26.08.2022;183.62
25.08.2022;181.90
24.08.2022;182.83
23.08.2022;184.30
22.08.2022;181.70
19.08.2022;177.60
18.08.2022;178.87
17.08.2022;176.50
16.08.2022;181.30
15.08.2022;174.80
12.08.2022;174.36
11.08.2022;174.10
10.08.2022;178.81
09.08.2022;181.04
08.08.2022;177.86
05.08.2022;176.58
04.08.2022;184.90
03.08.2022;187.04
02.08.2022;187.16
01.08.2022;192.00
29.07.2022;195.26
28.07.2022;196.25
27.07.2022;196.49
26.07.2022;193.95
25.07.2022;192.00
22.07.2022;192.25
21.07.2022;189.59
20.07.2022;193.30
19.07.2022;189.51
18.07.2022;186.70
15.07.2022;187.61
14.07.2022;184.55
13.07.2022;186.00
12.07.2022;191.40
11.07.2022;188.90
08.07.2022;198.00
07.07.2022;197.92
06.07.2022;195.42
05.07.2022;197.30
04.07.2022;186.25
01.07.2022;192.50
30.06.2022;207.00
29.06.2022;297.65
28.06.2022;297.20
27.06.2022;296.20
24.06.2022;296.00
23.06.2022;303.50
22.06.2022;295.80
21.06.2022;301.58
20.06.2022;311.98
17.06.2022;315.50
16.06.2022;316.99
15.06.2022;316.20
14.06.2022;317.69
10.06.2022;309.20
09.06.2022;306.50
08.06.2022;308.00
07.06.2022;297.99
06.06.2022;296.50
03.06.2022;297.00
02.06.2022;296.00
01.06.2022;297.69
31.05.2022;293.75
30.05.2022;300.80
27.05.2022;294.50
26.05.2022;295.89
25.05.2022;271.40
24.05.2022;265.80
23.05.2022;263.00
20.05.2022;263.00
19.05.2022;266.68
18.05.2022;264.84
17.05.2022;258.80
16.05.2022;244.20
13.05.2022;235.52
12.05.2022;230.56
11.05.2022;241.99
06.05.2022;240.10
05.05.2022;238.60
04.05.2022;234.16
29.04.2022;240.40
28.04.2022;237.53
27.04.2022;237.15
26.04.2022;225.85
25.04.2022;206.35
22.04.2022;208.00
21.04.2022;210.29
20.04.2022;218.92
19.04.2022;220.72
18.04.2022;216.99
15.04.2022;224.00
14.04.2022;222.11
13.04.2022;234.87
12.04.2022;236.30
11.04.2022;234.55
08.04.2022;241.07
07.04.2022;245.00
06.04.2022;239.70
05.04.2022;243.50
04.04.2022;252.90
01.04.2022;251.40
31.03.2022;242.48
30.03.2022;216.00
29.03.2022;208.00
28.03.2022;218.60
25.03.2022;227.00
24.03.2022;258.51
25.02.2022;228.00
24.02.2022;210.00
22.02.2022;283.51
